forecast_date,predicted_bookings,generated_at
2024-08-01,3299.728404267008,2026-07-28 16:06:06.751202
2024-08-02,3326.9775785263923,2026-07-28 16:06:06.751202
2024-08-03,3325.9757472956403,2026-07-28 16:06:06.751202
2024-08-04,3243.976354330262,2026-07-28 16:06:06.751202
2024-08-05,3334.671196967561,2026-07-28 16:06:06.751202
2024-08-06,3374.0651610339883,2026-07-28 16:06:06.751202
2024-08-07,3275.6729521849484,2026-07-28 16:06:06.751202
2024-08-08,3296.0187453893554,2026-07-28 16:06:06.751202
2024-08-09,3323.26791964874,2026-07-28 16:06:06.751202
2024-08-10,3322.266088417988,2026-07-28 16:06:06.751202
2024-08-11,3240.2666954526094,2026-07-28 16:06:06.751202
2024-08-12,3330.961538089909,2026-07-28 16:06:06.751202
2024-08-13,3370.355502156336,2026-07-28 16:06:06.751202
2024-08-14,3271.9632933072958,2026-07-28 16:06:06.751202
2024-08-15,3292.3090865117033,2026-07-28 16:06:06.751202
2024-08-16,3319.558260771088,2026-07-28 16:06:06.751202
2024-08-17,3318.5564295403356,2026-07-28 16:06:06.751202
2024-08-18,3236.5570365749572,2026-07-28 16:06:06.751202
2024-08-19,3327.251879212257,2026-07-28 16:06:06.751202
2024-08-20,3366.6458432786835,2026-07-28 16:06:06.751202
2024-08-21,3268.2536344296436,2026-07-28 16:06:06.751202
2024-08-22,3288.599427634051,2026-07-28 16:06:06.751202
2024-08-23,3315.8486018934354,2026-07-28 16:06:06.751202
2024-08-24,3314.8467706626834,2026-07-28 16:06:06.751202
2024-08-25,3232.847377697305,2026-07-28 16:06:06.751202
2024-08-26,3323.5422203346043,2026-07-28 16:06:06.751202
2024-08-27,3362.9361844010314,2026-07-28 16:06:06.751202
2024-08-28,3264.5439755519915,2026-07-28 16:06:06.751202
2024-08-29,3284.8897687563986,2026-07-28 16:06:06.751202
2024-08-30,3312.1389430157833,2026-07-28 16:06:06.751202
